id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,10/13/2014,221900,3,1.0,1180,5650,1.0,,0.0,3,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650
1736800520,4/3/2015,662500,3,2.5,3560,9796,1.0,,0.0,3,8,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925
8091400200,5/16/2014,252700,2,1.5,1070,9643,1.0,,0.0,3,7,1070,0.0,1985,,98030,47.3533,-122.166,1220,8386
5547700270,7/15/2014,625000,4,2.5,2570,5520,2.0,,0.0,3,9,2570,0.0,2000,,98074,47.6145,-122.027,2470,5669
9822700295,5/12/2014,885000,4,2.5,2830,5000,2.0,,0.0,3,9,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000
1516000055,12/10/2014,650000,3,2.25,2150,21235,1.0,,3.0,4,8,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900
5072410070,10/21/2014,505000,3,1.75,2519,8690,2.0,,0.0,5,8,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500
3394100030,9/9/2014,975000,4,2.5,2720,11049,2.0,,0.0,3,10,2720,0.0,1989,0.0,98004,47.5815,-122.19200000000001,2750,11049
3342103156,6/18/2014,461000,3,3.25,2770,6278,2.0,,0.0,3,9,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349
1328310370,4/2/2015,375000,3,2.5,2340,10005,1.0,,0.0,4,8,1460,880.0,1978,,98058,47.4431,-122.133,2250,8162
3454800060,1/8/2015,171800,4,2.0,1570,9600,1.0,,0.0,3,6,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000
3524049083,11/4/2014,445000,4,1.75,2100,4400,1.5,,0.0,5,7,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400
4058801670,7/17/2014,445000,3,2.25,2100,8201,1.0,,2.0,3,8,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712
537000445,3/31/2015,282950,3,1.0,1250,8200,1.0,,0.0,4,7,1250,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633
1755700060,6/11/2014,371500,3,2.0,1370,8336,1.0,,0.0,5,7,1370,0.0,1964,0.0,98133,47.7458,-122.331,1770,7288
1999700045,5/2/2014,313000,3,1.5,1340,7912,1.5,,0.0,3,7,1340,0.0,1955,0.0,98133,47.7658,-122.339,1480,7940
9158100075,1/7/2015,330000,2,1.0,1350,8220,1.0,,0.0,3,7,1060,290.0,1949,0.0,98177,47.7224,-122.35799999999999,1540,8280
3127200041,6/13/2014,589000,4,3.0,2440,9600,2.0,,0.0,5,7,2440,0.0,1961,,98034,47.7044,-122.2,2290,9600
2264500350,4/18/2015,615000,4,1.0,1330,2400,1.5,,0.0,4,6,1330,0.0,1901,,98103,47.65,-122.34,1330,4400
3278600320,7/23/2014,465000,3,2.5,2150,4084,2.0,,0.0,3,8,2150,0.0,2007,0.0,98126,47.5488,-122.37200000000001,1750,2385
3542300060,3/11/2015,210000,3,1.0,860,11725,1.0,,0.0,4,6,860,0.0,1943,0.0,98056,47.5093,-122.184,1300,9514
2310030510,4/22/2015,320000,4,2.25,1550,7579,2.0,,0.0,3,8,1550,0.0,1993,0.0,98038,47.354,-122.04700000000001,1630,6397
46100204,2/21/2015,1510000,5,3.0,3300,33474,1.0,,3.0,3,9,1870,1430.0,1957,1991.0,98040,47.5673,-122.21,3836,20953
8682281200,3/9/2015,479950,2,2.0,1510,6516,1.0,,0.0,3,8,1510,0.0,2005,0.0,98053,47.7076,-122.01299999999999,1640,6009
7972000200,5/29/2014,264950,4,2.25,1720,9753,1.0,,0.0,4,7,1120,600.0,1978,0.0,98023,47.2922,-122.37100000000001,1510,9753
1873100060,8/29/2014,693000,4,2.5,2460,4425,2.0,,0.0,3,8,2460,0.0,2006,0.0,98052,47.7048,-122.109,2990,5659
6378500125,5/1/2015,436000,2,1.0,1040,7538,1.0,,0.0,4,7,1040,0.0,1939,0.0,98133,47.7107,-122.352,1440,7530
2976800796,9/25/2014,236000,3,1.0,1300,5898,1.0,,0.0,3,7,1300,0.0,1961,,98178,47.5053,-122.255,1320,7619
6647200060,2/9/2015,405000,3,1.75,1670,6720,1.0,,0.0,3,7,1140,530.0,1980,,98034,47.7198,-122.193,1670,7320
6113400046,7/23/2014,389999,4,2.5,1890,15770,2.0,,0.0,4,7,1890,0.0,1968,0.0,98166,47.4281,-122.34299999999999,2410,15256
